g	1	0	-29404.8000000000
g	1	1	-1450.90000000000
h	1	1	4652.50000000000
g	2	0	-2499.60000000000
g	2	1	2982
h	2	1	-2991.60000000000
g	2	2	1677
h	2	2	-734.600000000000
g	3	0	1363.20000000000
g	3	1	-2381.20000000000
h	3	1	-82.1000000000000
g	3	2	1236.20000000000
h	3	2	241.900000000000
g	3	3	525.700000000000
h	3	3	-543.400000000000
g	4	0	903
g	4	1	809.500000000000
h	4	1	281.900000000000
g	4	2	86.3000000000000
h	4	2	-158.400000000000
g	4	3	-309.400000000000
h	4	3	199.700000000000
g	4	4	48
h	4	4	-349.700000000000
g	5	0	-234.300000000000
g	5	1	363.200000000000
h	5	1	47.7000000000000
g	5	2	187.800000000000
h	5	2	208.300000000000
g	5	3	-140.700000000000
h	5	3	-121.200000000000
g	5	4	-151.200000000000
h	5	4	32.3000000000000
g	5	5	13.5000000000000
h	5	5	98.9000000000000
g	6	0	66
g	6	1	65.5000000000000
h	6	1	-19.1000000000000
g	6	2	72.9000000000000
h	6	2	25.1000000000000
g	6	3	-121.500000000000
h	6	3	52.8000000000000
g	6	4	-36.2000000000000
h	6	4	-64.5000000000000
g	6	5	13.5000000000000
h	6	5	8.90000000000000
g	6	6	-64.7000000000000
h	6	6	68.1000000000000
g	7	0	80.6000000000000
g	7	1	-76.7000000000000
h	7	1	-51.5000000000000
g	7	2	-8.20000000000000
h	7	2	-16.9000000000000
g	7	3	56.5000000000000
h	7	3	2.20000000000000
g	7	4	15.8000000000000
h	7	4	23.5000000000000
g	7	5	6.40000000000000
h	7	5	-2.20000000000000
g	7	6	-7.20000000000000
h	7	6	-27.2000000000000
g	7	7	9.80000000000000
h	7	7	-1.80000000000000
g	8	0	23.7000000000000
g	8	1	9.70000000000000
h	8	1	8.40000000000000
g	8	2	-17.6000000000000
h	8	2	-15.3000000000000
g	8	3	-0.500000000000000
h	8	3	12.8000000000000
g	8	4	-21.1000000000000
h	8	4	-11.7000000000000
g	8	5	15.3000000000000
h	8	5	14.9000000000000
g	8	6	13.7000000000000
h	8	6	3.60000000000000
g	8	7	-16.5000000000000
h	8	7	-6.90000000000000
g	8	8	-0.300000000000000
h	8	8	2.80000000000000
g	9	0	5
g	9	1	8.40000000000000
h	9	1	-23.4000000000000
g	9	2	2.90000000000000
h	9	2	11
g	9	3	-1.50000000000000
h	9	3	9.80000000000000
g	9	4	-1.10000000000000
h	9	4	-5.10000000000000
g	9	5	-13.2000000000000
h	9	5	-6.30000000000000
g	9	6	1.10000000000000
h	9	6	7.80000000000000
g	9	7	8.80000000000000
h	9	7	0.400000000000000
g	9	8	-9.30000000000000
h	9	8	-1.40000000000000
g	9	9	-11.9000000000000
h	9	9	9.60000000000000
g	10	0	-1.90000000000000
g	10	1	-6.20000000000000
h	10	1	3.40000000000000
g	10	2	-0.100000000000000
h	10	2	-0.200000000000000
g	10	3	1.70000000000000
h	10	3	3.60000000000000
g	10	4	-0.900000000000000
h	10	4	4.80000000000000
g	10	5	0.700000000000000
h	10	5	-8.60000000000000
g	10	6	-0.900000000000000
h	10	6	-0.100000000000000
g	10	7	1.90000000000000
h	10	7	-4.30000000000000
g	10	8	1.40000000000000
h	10	8	-3.40000000000000
g	10	9	-2.40000000000000
h	10	9	-0.100000000000000
g	10	10	-3.80000000000000
h	10	10	-8.80000000000000
g	11	0	3
g	11	1	-1.40000000000000
h	11	1	0
g	11	2	-2.50000000000000
h	11	2	2.50000000000000
g	11	3	2.30000000000000
h	11	3	-0.600000000000000
g	11	4	-0.900000000000000
h	11	4	-0.400000000000000
g	11	5	0.300000000000000
h	11	5	0.600000000000000
g	11	6	-0.700000000000000
h	11	6	-0.200000000000000
g	11	7	-0.100000000000000
h	11	7	-1.70000000000000
g	11	8	1.40000000000000
h	11	8	-1.60000000000000
g	11	9	-0.600000000000000
h	11	9	-3
g	11	10	0.200000000000000
h	11	10	-2
g	11	11	3.10000000000000
h	11	11	-2.60000000000000
g	12	0	-2
g	12	1	-0.100000000000000
h	12	1	-1.20000000000000
g	12	2	0.500000000000000
h	12	2	0.500000000000000
g	12	3	1.30000000000000
h	12	3	1.40000000000000
g	12	4	-1.20000000000000
h	12	4	-1.80000000000000
g	12	5	0.700000000000000
h	12	5	0.100000000000000
g	12	6	0.300000000000000
h	12	6	0.800000000000000
g	12	7	0.500000000000000
h	12	7	-0.200000000000000
g	12	8	-0.300000000000000
h	12	8	0.600000000000000
g	12	9	-0.500000000000000
h	12	9	0.200000000000000
g	12	10	0.100000000000000
h	12	10	-0.900000000000000
g	12	11	-1.10000000000000
h	12	11	0
g	12	12	-0.300000000000000
h	12	12	0.500000000000000
g	13	0	0.100000000000000
g	13	1	-0.900000000000000
h	13	1	-0.900000000000000
g	13	2	0.500000000000000
h	13	2	0.600000000000000
g	13	3	0.700000000000000
h	13	3	1.40000000000000
g	13	4	-0.300000000000000
h	13	4	-0.400000000000000
g	13	5	0.800000000000000
h	13	5	-1.30000000000000
g	13	6	0
h	13	6	-0.100000000000000
g	13	7	0.800000000000000
h	13	7	0.300000000000000
g	13	8	0
h	13	8	-0.100000000000000
g	13	9	0.400000000000000
h	13	9	0.500000000000000
g	13	10	0.100000000000000
h	13	10	0.500000000000000
g	13	11	0.500000000000000
h	13	11	-0.400000000000000
g	13	12	-0.500000000000000
h	13	12	-0.400000000000000
g	13	13	-0.400000000000000
h	13	13	-0.600000000000000
